"Albion Street North","Albion Street South","Briggate","Briggate at McDonalds","Commercial Street at Barratts","Commercial Street at Lush","Dortmund Square","Headrow"
3244,7088,5680,1812,3991,4941,3872,1981
3595,7948,8904,1765,4672,6289,4234,2388
3391,5894,7622,1574,4912,7228,4328,2394
2761,4301,6712,1700,4307,7226,3971,2054
1983,3102,4401,1711,3043,4824,3470,1623
981,1872,2405,1410,2223,3607,2166,1009
532,763,1125,928,657,863,1124,441
330,346,874,656,314,357,564,406
233,282,511,500,287,338,382,396
277,416,698,469,248,120,738,428
270,532,791,447,311,112,614,427
168,407,1092,426,232,57,281,343
196,319,804,364,245,74,221,237
47,150,751,339,144,16,160,138
86,230,478,260,127,5,136,111
60,177,393,197,48,0,133,124
35,88,268,114,14,2,42,49
12,13,78,53,23,23,19,29
21,23,61,51,14,18,17,21
26,38,70,50,33,71,26,48
42,35,55,92,113,99,78,98
119,92,49,246,226,167,191,165
310,457,253,737,818,682,549,532
947,1504,1027,1181,1291,1630,1180,819
1479,2423,1961,1496,1687,2426,1775,995
1814,2983,2857,1696,2074,2683,2297,1200
1659,1996,2729,1251,2034,3184,2279,1301
1521,1842,2683,1192,1816,2987,1993,1094
884,1333,1542,1156,1194,1790,1547,804
240,381,819,562,509,825,737,464
143,153,384,372,166,208,290,233
96,117,328,300,146,153,189,223
96,104,237,232,87,83,145,205
93,149,252,177,97,38,117,152
79,120,340,181,46,21,147,149
31,58,274,87,132,29,109,109
9,22,199,66,54,6,49,64
12,40,111,61,10,1,29,29
2,10,98,34,4,0,33,12
8,5,61,21,5,0,29,10
3,40,51,15,21,0,16,12
10,31,38,27,74,58,21,18
69,118,117,79,175,150,83,46
295,277,262,239,248,295,275,135
953,909,554,400,862,801,600,353
915,1036,589,493,936,1042,848,475
1024,1426,867,963,1386,1756,1433,823
1425,2117,1098,1435,2054,2699,2046,1231
2718,4478,2238,1953,3578,5466,2977,2009
3203,5709,3032,2210,4077,6100,3073,2234
2367,3469,2752,1970,2944,4275,2127,1838
1931,2944,2442,1912,2549,3505,2205,1653
1783,2529,2085,1654,2135,2925,1992,1399
1696,2293,1722,1446,1545,1924,1610,977
630,707,926,741,532,617,751,447
192,250,325,392,266,313,343,339
151,195,276,374,176,199,238,138
91,157,222,248,162,61,521,160
77,174,241,136,78,18,487,103
37,105,158,103,116,42,88,56
62,80,145,48,105,71,53,27
6,19,75,33,56,33,57,8
4,12,32,10,11,0,53,6
40,32,29,11,48,22,90,13
17,74,16,11,70,84,25,1
12,44,65,46,83,96,25,20
56,120,149,65,117,123,139,42
262,283,254,238,307,709,384,241
909,687,393,471,994,1017,903,419
729,890,685,626,950,1005,1330,468
1110,1585,1038,1103,1630,2070,2228,894
1565,2512,1474,1629,2164,3160,3334,1291
3306,6267,3342,2044,3965,6291,4507,2064
4606,9175,7295,1916,4555,7278,4432,2237
2870,3697,5083,1205,2909,5444,3408,1915
2055,2296,4262,1156,2896,5605,2981,1729
1685,2111,2807,1733,2327,3825,2824,1515
1618,2264,1885,1444,1692,2471,2269,1072
453,683,890,661,1081,948,1205,381
217,227,410,421,297,257,608,299
137,209,254,266,197,158,422,184
80,154,217,209,171,69,826,136
261,226,200,124,128,50,777,132
16,119,118,97,139,74,199,48
7,41,162,46,56,25,98,51
11,46,66,37,13,1,78,17
2,20,43,32,2,0,78,21
41,30,34,30,5,0,75,26
1,8,41,23,5,0,32,8
14,37,86,38,114,70,28,36
66,215,113,89,147,161,138,60
282,280,276,220,294,265,372,167
906,877,459,475,895,905,807,307
707,910,456,589,1217,1110,1029,479
879,1556,750,985,1522,1880,1410,834
1626,2749,1246,1418,2439,2703,2345,1192
3844,6450,3584,2019,3936,5686,3836,1969
4079,8231,6023,1858,4598,7139,4132,2316
2844,3387,5276,1178,3320,5246,3177,1814
2200,2573,3329,1586,2770,4580,3133,1683
1781,2095,2774,1601,2223,4109,2720,1330
1159,1854,1741,1395,2374,3646,2358,1012
430,712,832,728,1002,1394,1205,439
198,231,379,387,238,236,654,392
169,217,320,336,160,164,574,254
106,185,281,263,130,65,648,153
73,136,241,161,76,32,465,164
42,129,206,121,263,64,167,54
6,37,147,35,95,47,58,14
100,68,88,32,38,13,56,11
1,17,23,27,6,0,49,2
1,18,35,15,42,24,66,4
33,23,39,10,60,30,13,1
16,61,35,25,78,76,20,20
65,136,140,103,129,146,85,56
257,219,260,214,376,586,291,253
865,498,195,438,1650,1374,615,507
666,957,279,519,1758,1066,929,463
1015,1541,752,1096,2087,1981,1442,810
1608,2426,1423,1595,2325,3004,2072,1209
2829,4779,2904,2110,4550,5869,3164,2057
3359,6903,4148,2199,5121,6170,3496,2067
2499,3476,3449,1680,3452,4730,3002,1728
2077,3075,2687,1852,3139,3461,2636,1693
1736,2688,2041,1737,2350,3016,2739,1360
1612,2401,1909,1524,2409,2240,2245,1092
872,918,1242,1044,1140,997,1107,629
353,359,707,556,291,366,687,336
226,264,389,379,185,268,497,240
140,284,302,229,142,93,643,178
126,187,300,238,184,55,536,141
96,237,296,144,207,39,172,114
102,117,238,94,109,76,96,92
21,69,268,90,61,1,110,51
19,50,182,87,20,1,118,42
27,79,306,137,24,0,119,42
8,68,131,60,24,37,43,8
22,48,132,54,76,97,37,22
56,106,186,89,133,120,93,47
282,315,287,221,332,325,236,152
877,787,489,472,1275,922,509,383
717,886,735,651,1519,1014,808,553
1101,1480,1166,1142,2288,2214,1511,938
1949,3090,1725,1785,2765,3394,2331,1390
3622,6307,3511,2254,4164,6628,3315,2183
3590,6867,4440,2398,4111,6699,3370,2326
2517,3966,3082,2154,3487,4526,2889,2029
2141,3461,2764,2000,3091,4095,2463,1861
1995,3042,2571,1909,2628,3436,2383,1697
1614,2322,1885,1387,2264,2203,1803,1018
628,726,1045,756,925,753,952,507
292,324,642,476,353,401,533,357
